Name,Type,Cation,Anion,Smiles,"Temperature, K","Pressure, kPa",ActualValue,ErrorValue
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,imidazolium,C[N+]1=CN(CCCC)C=C1,O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,C[N+]1=CN(CCCC)C=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,283.15,100,0.207,0.026
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,imidazolium,C[N+]1=CN(CCCC)C=C1,O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,C[N+]1=CN(CCCC)C=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,298.15,100,0.403,0.051
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,imidazolium,C[N+]1=CN(CCCC)C=C1,O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,C[N+]1=CN(CCCC)C=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,298.17,100,0.387,0.049
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,imidazolium,C[N+]1=CN(CCCC)C=C1,O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,C[N+]1=CN(CCCC)C=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,323.14,100,0.81,0.1
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,imidazolium,C[N+]1=CN(CCCC)C=C1,O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,C[N+]1=CN(CCCC)C=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,323.15,100,0.91,0.12
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,imidazolium,C[N+]1=CN(CCCC)C=C1,O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,C[N+]1=CN(CCCC)C=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,348.14,100,1.387,0.18
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,imidazolium,C[N+]1=CN(CCCC)C=C1,O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,C[N+]1=CN(CCCC)C=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,348.15,100,1.62,0.21
1-butyl-3-methylimidazolium tetrafluoroborate,imidazolium,C[N+]1=CN(CCCC)C=C1,F[B-](F)(F)F,C[N+]1=CN(CCCC)C=C1.F[B-](F)(F)F,273,100,0.0784,0.0024
1-butyl-3-methylimidazolium tetrafluoroborate,imidazolium,C[N+]1=CN(CCCC)C=C1,F[B-](F)(F)F,C[N+]1=CN(CCCC)C=C1.F[B-](F)(F)F,273.4,100,0.0776,0.0023
1-butyl-3-methylimidazolium tetrafluoroborate,imidazolium,C[N+]1=CN(CCCC)C=C1,F[B-](F)(F)F,C[N+]1=CN(CCCC)C=C1.F[B-](F)(F)F,278.15,100,0.1064,0.0032
1-butyl-3-methylimidazolium tetrafluoroborate,imidazolium,C[N+]1=CN(CCCC)C=C1,F[B-](F)(F)F,C[N+]1=CN(CCCC)C=C1.F[B-](F)(F)F,278.15,100,0.1116,0.0033
1-butyl-3-methylimidazolium tetrafluoroborate,imidazolium,C[N+]1=CN(CCCC)C=C1,F[B-](F)(F)F,C[N+]1=CN(CCCC)C=C1.F[B-](F)(F)F,283.15,100,0.1466,0.0044
1-butyl-3-methylimidazolium tetrafluoroborate,imidazolium,C[N+]1=CN(CCCC)C=C1,F[B-](F)(F)F,C[N+]1=CN(CCCC)C=C1.F[B-](F)(F)F,283.15,100,0.1556,0.0047
1-butyl-3-methylimidazolium tetrafluoroborate,imidazolium,C[N+]1=CN(CCCC)C=C1,F[B-](F)(F)F,C[N+]1=CN(CCCC)C=C1.F[B-](F)(F)F,288.14,100,0.1987,0.006
1-butyl-3-methylimidazolium tetrafluoroborate,imidazolium,C[N+]1=CN(CCCC)C=C1,F[B-](F)(F)F,C[N+]1=CN(CCCC)C=C1.F[B-](F)(F)F,288.15,100,0.1967,0.0059
1-butyl-3-methylimidazolium tetrafluoroborate,imidazolium,C[N+]1=CN(CCCC)C=C1,F[B-](F)(F)F,C[N+]1=CN(CCCC)C=C1.F[B-](F)(F)F,293.15,100,0.257,0.0077
1-butyl-3-methylimidazolium tetrafluoroborate,imidazolium,C[N+]1=CN(CCCC)C=C1,F[B-](F)(F)F,C[N+]1=CN(CCCC)C=C1.F[B-](F)(F)F,293.15,100,0.2572,0.0077
1-butyl-3-methylimidazolium tetrafluoroborate,imidazolium,C[N+]1=CN(CCCC)C=C1,F[B-](F)(F)F,C[N+]1=CN(CCCC)C=C1.F[B-](F)(F)F,293.15,100,0.2613,0.0078
1-butyl-3-methylimidazolium tetrafluoroborate,imidazolium,C[N+]1=CN(CCCC)C=C1,F[B-](F)(F)F,C[N+]1=CN(CCCC)C=C1.F[B-](F)(F)F,298.14,100,0.341,0.01
1-butyl-3-methylimidazolium tetrafluoroborate,imidazolium,C[N+]1=CN(CCCC)C=C1,F[B-](F)(F)F,C[N+]1=CN(CCCC)C=C1.F[B-](F)(F)F,298.15,100,0.3294,0.0099
1-butyl-3-methylimidazolium tetrafluoroborate,imidazolium,C[N+]1=CN(CCCC)C=C1,F[B-](F)(F)F,C[N+]1=CN(CCCC)C=C1.F[B-](F)(F)F,298.15,100,0.332,0.01
1-butyl-3-methylimidazolium tetrafluoroborate,imidazolium,C[N+]1=CN(CCCC)C=C1,F[B-](F)(F)F,C[N+]1=CN(CCCC)C=C1.F[B-](F)(F)F,298.15,100,0.333,0.01
1-butyl-3-methylimidazolium tetrafluoroborate,imidazolium,C[N+]1=CN(CCCC)C=C1,F[B-](F)(F)F,C[N+]1=CN(CCCC)C=C1.F[B-](F)(F)F,303.15,100,0.414,0.012
1-butyl-3-methylimidazolium tetrafluoroborate,imidazolium,C[N+]1=CN(CCCC)C=C1,F[B-](F)(F)F,C[N+]1=CN(CCCC)C=C1.F[B-](F)(F)F,303.15,100,0.419,0.013
